"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"total_power",1371968.1586,1104535.3444,1008839.5432,1018209.5265," total power per cycle",1008839.5432,1371968.1586,363128.6154,169613.654375901,0.467089750525624
"avg_regfile_power_cc1",1.482,1.1139,1.0021,1.0182," avg power usage of arch. regfile_cc1",1.0021,1.482,0.4799,0.22413333085465,0.467041739642946
"total_power_cycle_cc3",216341.1228,181165.9653,168132.5846,169330.748," total power per cycle_cc3",168132.5846,216341.1228,48208.5382,22514.2680240583,0.467018268229885
"avg_window_power_cc1",1.0494,0.8684,0.8138,0.8224," avg power usage of instruction window_cc1",0.8138,1.0494,0.2356,0.109912268044412,0.466520662327725
"avg_total_power_insn_cc1",25.5811,15.9065,12.2967,12.6586," average total power per insn_cc1",12.2967,25.5811,13.2844,6.19660294590243,0.466457118567826
"avg_total_power_insn_nofp_nod2",103.4315,78.3005,65.4947,66.3141," average total power per insn",65.4947,103.4315,37.9368,17.6936972134147,0.466399306568153
"total_power_cycle_cc1",251385.5673,166334.2257,140625.5088,144763.8447," total power per cycle_cc1",140625.5088,251385.5673,110760.0585,51650.3132309197,0.466326164236539
"avg_issue_power_cc3",4.6048,5.1321,5.4278,5.4481," average power of issue unit per cycle_cc3",4.6048,5.4481,0.8433,0.393089870979483,0.466132895742302
"avg_issue_power_cc1",4.9889,4.2538,4.0227,4.0582," average power of issue unit per cycle_cc1",4.0227,4.9889,0.9662,0.450281741431591,0.466033679809141
"avg_issue_power_cc2",1.6669,2.1135,2.3832,2.4035," average power of issue unit per cycle_cc2",1.6669,2.4035,0.7366,0.343070326852479,0.465748475227367
"avg_window_power_cc3",0.4814,0.5931,0.6591,0.6647," avg power usage of instruction window_cc3",0.4814,0.6647,0.1833,0.0852286092420458,0.464967862749841
"avg_window_power_cc2",0.3823,0.4723,0.5295,0.535," avg power usage of instruction window_cc2",0.3823,0.535,0.1527,0.0708981135151,0.464296748625409
"regfile_power_cc3",7717.1548,7042.4476,6517.0461,6566.1356," total power usage of arch. regfile_cc3",6517.0461,7717.1548,1200.1087,557.200258201115,0.464291491429997
"avg_clock_power_cc2",2.008,2.03,2.049,2.0518," avg power usage of clock_cc2",2.008,2.0518,0.0438000000000001,0.020263925253185,0.462646695278195
"resultbus_power_cc1",15244.0774,10076.0299,8477.5204,8855.5619," total power usage of resultbus_cc1",8477.5204,15244.0774,6766.557,3129.10835311731,0.462437300552897
"regfile_power_cc2",4218.2756,3565.3605,3173.5695,3222.6589," total power usage of arch. regfile_cc2",3173.5695,4218.2756,1044.7061,481.518078582382,0.460912479196189
"avg_clock_power_cc3",4.0951,4.2229,4.281,4.2904," avg power usage of clock_cc3",4.0951,4.2904,0.1953,0.0899323634738905,0.460483171909323
"avg_clock_power_cc1",4.7782,3.8357,3.5441,3.63," avg power usage of clock_cc1",3.5441,4.7782,1.2341,0.567479379948441,0.459832574303898
"rename_power_cc1",786.5608,1002.6525,1686.0728,3890.7359," total power usage of rename unit_cc1",786.5608,3890.7359,3104.1751,1418.93002319595,0.45710373206587
